Date Time, Deer Creek Penstock #1 Flow, Deer Creek Penstock #2 Flow, Deer Creek Spillway Flow, Deer Creek Salt Lake Aqueduct Flow, Deer Creek Power Diversion Flow, Provo River Bridal Veil Flow
2020-07-02 22:28:00, 254, 270, 0, -120, -404, 0
2020-07-02 21:58:57, 254, 268, 0, -120, -402, 0
2020-07-02 21:27:59, 256, 270, 0, -120, -405, 0
2020-07-02 20:57:56, 254, 269, 0, -120, -403, 0
2020-07-02 20:27:58, 256, 269, 0, -120, -406, 0
2020-07-02 19:57:56, 258, 268, 0, -120, -407, 0
2020-07-02 19:28:59, 258, 268, 0, -120, -405, 0
2020-07-02 18:57:56, 256, 269, 0, -120, -405, 0
2020-07-02 18:27:58, 257, 263, 0, -120, -401, 0
2020-07-02 17:57:55, 258, 263, 0, -119, -401, 0
2020-07-02 17:27:58, 258, 264, 0, -120, -402, 0
2020-07-02 16:57:55, 257, 264, 0, -120, -401, 0
2020-07-02 16:27:58, 256, 265, 0, -119, -402, 0
2020-07-02 15:57:54, 255, 266, 0, -120, -401, 0
2020-07-02 15:27:57, 254, 266, 0, -119, -400, 0
2020-07-02 14:57:48, 254, 265, 0, -120, -399, 0
2020-07-02 14:27:57, 257, 264, 0, -119, -402, 0
2020-07-02 13:58:00, 253, 262, 0, -120, -395, 0
2020-07-02 13:28:57, 256, 264, 0, -116, -404, 0
2020-07-02 12:58:48, 256, 256, 0, -109, -403, 0
2020-07-02 12:27:55, 252, 256, 0, -110, -399, 0
2020-07-02 11:57:58, 254, 252, 0, -109, -397, 0
2020-07-02 11:27:55, 255, 252, 0, -109, -398, 0
2020-07-02 10:57:57, 254, 254, 0, -109, -398, 0
2020-07-02 10:27:54, 254, 252, 0, -109, -396, 0
2020-07-02 09:57:56, 256, 254, 0, -109, -400, 0
2020-07-02 09:27:59, 256, 252, 0, -110, -398, 0
2020-07-02 08:57:56, 220, 220, 0, -100, -339, 0
2020-07-02 08:27:59, 221, 220, 0, -99, -342, 0
2020-07-02 07:57:56, 222, 220, 0, -100, -342, 0
2020-07-02 07:27:58, 222, 220, 0, -101, -340, 0
2020-07-02 06:57:55, 222, 219, 0, -101, -341, 0
2020-07-02 06:27:58, 212, 214, 0, -85, -341, 0
2020-07-02 05:57:55, 212, 216, 0, -85, -343, 0
2020-07-02 05:27:57, 208, 215, 0, -85, -338, 0
2020-07-02 04:57:54, 210, 216, 0, -86, -340, 0
2020-07-02 04:27:57, 207, 216, 0, -85, -338, 0
2020-07-02 03:58:55, 211, 215, 0, -86, -340, 0
2020-07-02 03:27:57, 206, 203, 0, -70, -339, 0
2020-07-02 02:58:59, 209, 204, 0, -70, -343, 0
2020-07-02 02:27:55, 208, 204, 0, -70, -342, 0
2020-07-02 01:57:58, 205, 204, 0, -70, -340, 0
2020-07-02 01:27:55, 206, 204, 0, -70, -339, 0
2020-07-02 00:58:59, 209, 204, 0, -70, -342, 0
2020-07-02 00:27:55, 207, 205, 0, -70, -342, 0
2020-07-01 23:58:58, 208, 203, 0, -70, -340, 0
2020-07-01 23:27:54, 208, 204, 0, -71, -342, 0
2020-07-01 22:58:57, 210, 203, 0, -70, -342, 0
2020-07-01 22:27:59, 209, 204, 0, -70, -343, 0
2020-07-01 21:57:56, 205, 205, 0, -70, -340, 0
